ScanList Name,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample,Flags
VK6RDM,Selected,'6RDH TG1 WW,'6RDH TG8 S1,'6RDH TG9 S1 Loc,'6RDH TG13 WWE,'6RDH TG133 +USA,'6RDH TG143 +UK,'6RDH TG153 AU/NZ,'6RDH TG505 AU,'6RDH TG3802 NSW,'6RDH TG3806 WA,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK6RLM,Selected,'6RLM TG1 WW,'6RLM TG8 S1,'6RLM TG9 S1 Loc,'6RLM TG13 WWE,'6RLM TG133 +USA,'6RLM TG143 +UK,'6RLM TG153 AU/NZ,'6RLM TG505 AU,'6RLM TG3802 NSW,'6RLM TG3806 WA,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK6RRR,Selected,'6RRR TG1 WW,'6RRR TG8 S1,'6RRR TG9 S1 Loc,'6RRR TG13 WWE,'6RRR TG133 +USA,'6RRR TG143 +UK,'6RRR TG153 AU/NZ,'6RRR TG505 AU,'6RRR TG3802 NSW,'6RRR TG3806 WA,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK6RPT,Selected,'6RPT TG1 WW,'6RPT TG8 S1,'6RPT TG9 S1 Loc,'6RPT TG13 WWE,'6RPT TG133 +USA,'6RPT TG143 +UK,'6RPT TG153 AU/NZ,'6RPT TG505 AU,'6RPT TG3802 NSW,'6RPT TG3806 WA,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK7RCR,Selected,'7RCR TG1 WW,'7RCR TG8 S1,'7RCR TG9 S1 Loc,'7RCR TG13 WWE,'7RCR TG133 +USA,'7RCR TG143 +UK,'7RCR TG153 AU/NZ,'7RCR TG505 AU,'7RCR TG3802 NSW,'7RCR TG3807 Tas,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK7RAA,Selected,'7RAA TG1 WW,'7RAA TG8 S1,'7RAA TG9 S1 Loc,'7RAA TG13 WWE,'7RAA TG133 +USA,'7RAA TG143 +UK,'7RAA TG153 AU/NZ,'7RAA TG505 AU,'7RAA TG3802 NSW,'7RAA TG3807 Tas,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
VK7RJD,Selected,'7RJD TG1 WW,'7RJD TG8 S1,'7RJD TG9 S1 Loc,'7RJD TG13 WWE,'7RJD TG133 +USA,'7RJD TG143 +UK,'7RJD TG153 AU/NZ,'7RJD TG505 AU,'7RJD TG3802 NSW,'7RJD TG3807 Tas,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
CB,Selected,WJSP,CB30,CB40,CB25,CB26,CD17,CB18,CB29,CB10,CB11,CB12,CB13,CB14,CB15,CB16,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg NE Vic,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg SW NSW,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg Mbgee,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
,None,Selected,255,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anlg SW NSW,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg Mbgee,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
,VK5RBV 2m Brosa,VK5RHO 2m Adlde,VK5RLD 2m Rvlnd,VK5RLH 2m CntNt,VK5RLZ 2m AdNth,VK5RMB 2m MBdge,VK5RMG 2m MtGmb,VK5RMN 2m PtPri,VK5RSE 2m Mlcnt,VK5RSV 2mAdlSth,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0,,,,,,
Anlg NE Vic,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg SW NSW,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
Anlg Mbgee,Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected,None,Selected,255,8,0
