Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
,VK2RMY 7 Kmpsy,438.075,433.075,Analog,High,None,None,0,0,0,1
,VK2RNC 2m LHntr,146.975,146.375,Analog,High,None,None,0,0,0,1
,VK2RNC 7 LHntr,438.025,433.025,Analog,High,None,None,0,0,0,1
,VK2ROT 2mSyd,147.025,147.625,Analog,High,None,91.5,0,0,0,1
,VK2RPL 7 Lismr,438.675,433.675,Analog,High,None,None,0,0,0,1
,VK2RPM 7 PtMcqr,438.525,433.525,Analog,High,None,123,0,0,0,1
,VK2RRW 7 NthSyd,438.1,433.1,Analog,High,None,None,0,0,0,1
,VK2RSC 2m Lismr,146.8,146.2,Analog,High,None,123,0,0,0,1
,VK2RSC 7 Lismr,439.95,434.95,Analog,High,None,123,0,0,0,1
,VK2RTD 2m Tumut,146.8,146.2,Analog,High,None,91.5,0,0,0,1
,VK2RTW 7 Waga2,438.025,433.025,Analog,High,None,91.5,0,0,0,1
,VK2RTW 7 Waga3,439.8,434.8,Analog,High,None,91.5,0,0,0,1
,VK2RTW 7 Waga4,438.025,433.025,Analog,High,None,91.5,0,0,0,1
,VK2RTZ 2m Ncstl,146.775,146.175,Analog,High,None,91.5,0,0,0,1
,VK2RUM 7 Ncstle,438.625,433.625,Analog,High,None,None,0,0,0,1
,VK2RUW 2m Wgng,146.975,146.375,Analog,High,None,None,0,0,0,1
,VK2RWG 2m Wagga,146.75,146.15,Analog,High,None,91.5,0,0,0,1
,VK2RWI 2m Dural,147,146.4,Analog,High,None,None,0,0,0,1
,VK2RWP 7 Bega,439.9,434.9,Analog,High,None,None,0,0,0,1
,VK2RWS 7 Syd,438.275,432.875,Analog,High,None,91.5,0,0,0,1
,VK3RAD 7 Mtchm,438.525,433.525,Analog,High,None,123,0,0,0,1
,VK3RAG 2m Alnxd,146.775,146.175,Analog,High,None,123,0,0,0,1
,VK3RAJ 2m ESEMl,146.875,146.275,Analog,High,None,94.8,0,0,0,1
,VK3RBA 2m Balrt,146.75,146.15,Analog,High,None,91.5,0,0,0,1
,VK3RBA 7 Balart,439.275,434.275,Analog,High,None,91.5,0,0,0,1
,VK3RBN 7 Balrat,438.35,433.35,Analog,High,None,91.5,0,0,0,1
,VK3RBO 7 Bndigo,438.025,433.025,Analog,High,None,None,0,0,0,1
,VK3RBP 7 Horshm,439.7,434.7,Analog,High,None,91.5,0,0,0,1
,VK3RBT 2m Balrt,146.65,146.05,Analog,High,None,91.5,0,0,0,1
,VK3RBU 7 Balrat,438.475,433.475,Analog,High,None,91.5,0,0,0,1
,VK3RBW 7 WMelb,438.45,433.45,Analog,High,None,91.5,0,0,0,1
,VK3RCA 2m Echuc,146.675,146.075,Analog,High,None,None,0,0,0,1
,VK3RCC 7 Melbn,438.025,433.025,Analog,High,None,91.5,0,0,0,1
,VK3RCD 7 Knglak,438.1875,432.7875,Analog,High,None,None,0,0,0,1
,VK3RCR 2m EMlbn,147.075,147.675,Analog,High,None,None,0,0,0,1
,VK3RCU 7 Bndgo,438.425,433.425,Analog,High,None,None,0,0,0,1
,VK3RCV 2m Bndgo,147.15,147.75,Analog,High,None,None,0,0,0,1
,VK3RDX 7 MtWavr,439.6,434.6,Analog,High,None,91.5,0,0,0,1
,VK3REC 2m Olnda,147.175,147.775,Analog,High,None,None,0,0,0,1
,VK3RGC 2m Gelng,147.125,147.725,Analog,High,None,91.5,0,0,0,1
,VK3RGH 2m Mcdn,146.875,146.275,Analog,High,None,91.5,0,0,0,1
,VK3RGH 7 Macdn,439.325,434.325,Analog,High,None,91.5,0,0,0,1
,VK3RGL 2m Glng,147,146.4,Analog,High,None,91.5,0,0,0,1
