Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
157,VK4ROM 2m Roma,146.65,146.05,Analog,High,None,None,3,1,0,1
158,VK4RGT 2m Gldst,146.625,146.025,Analog,High,91.5,91.5,3,2,0,2
159,VK5RBT 2m Bdtwn,147.35,147.95,Analog,High,None,None,3,2,0,2
160,VK5RLD 2m Rvlnd,147.325,147.925,Analog,High,None,None,3,2,0,2
161,VK5RAD 2m Crfrs,147,146.4,Analog,High,None,None,3,2,0,2
162,VK5RAE 2m PtAgs,146.975,146.375,Analog,High,None,None,3,2,0,2
163,VK5RLH 2m CntNt,146.925,146.325,Analog,High,None,None,3,2,0,2
164,VK5RMG 2m MtGmb,146.9,146.3,Analog,High,None,None,3,2,0,2
165,VK5RMB 2m MBdge,146.875,146.275,Analog,High,None,None,3,2,0,2
166,VK5RHO 2m Adlde,146.85,146.25,Analog,High,None,None,3,2,0,2
167,VK5RBV 2m Brosa,146.825,146.225,Analog,High,None,None,3,2,0,2
168,VK5RSE 2m Mlcnt,146.8,146.2,Analog,High,None,None,3,2,0,2
169,VK5REP 2mEyrPen,146.8,146.2,Analog,High,None,None,3,2,0,2
170,VK5RAC 2mLEyrPn,146.75,146.15,Analog,High,None,None,3,1,1,1
171,VK5RAH 2mAdlHls,146.775,146.175,Analog,High,None,None,3,1,0,1
172,VK5RBK 2m MtBkr,146.725,146.125,Analog,High,None,None,3,1,0,1
173,VK5RMN 2m PtPri,146.7,146.1,Analog,High,None,None,3,1,0,1
174,VK5RSV 2mAdlSth,146.675,146.075,Analog,High,None,None,1,0,0,2
175,VK5RLZ 2m AdNth,146.625,146.025,Analog,High,None,None,3,1,0,1
176,VK3REC 2m Olnda,147.175,147.775,Analog,High,None,None,3,1,0,1
177,VK3RCV 2m Bndgo,147.15,147.75,Analog,High,None,None,3,1,0,1
178,VK3RGC 2m Gelng,147.125,147.725,Analog,High,91.5,91.5,3,1,0,1
179,VK3RPB 2m Brght,147.1,147.7,Analog,High,None,None,3,1,0,1
180,VK3RCR 2m EMlbn,147.075,147.675,Analog,High,None,None,3,1,0,1
181,VK3RHO 2m MHthm,147.05,147.65,Analog,High,None,None,3,1,0,1
182,VK3RNE 2m Wdnga,147,146.4,Analog,High,None,None,3,2,0,2
183,VK3RGL 2m Glng,147,146.4,Analog,High,91.5,91.5,3,2,0,2
184,VK3RGH 2m Mcdn,146.875,146.275,Analog,High,91.5,91.5,3,2,0,2
185,VK3RMN 2m KngLk,146.85,146.25,Analog,High,91.5,91.5,3,2,0,2
186,VK3RMA 2m Mldra,146.8,146.2,Analog,High,None,None,3,2,0,2
187,VK3RAJ 2m ESEMl,146.875,146.275,Analog,High,94.8,94.8,3,2,0,2
188,VK3RAG 2m Alnxd,146.775,146.175,Analog,High,123,123,3,2,0,2
189,VK3RBA 2m Balrt,146.75,146.15,Analog,High,91.5,91.5,3,2,0,2
190,VK3RML 2m EMelb,146.7,146.1,Analog,High,91.5,91.5,3,2,0,2
191,VK3RCA 2m Echuc,146.675,146.075,Analog,High,None,None,3,2,0,2
192,VK3RVG 2m Shep,146.65,146.05,Analog,High,123,123,3,2,0,2
193,VK3RBT 2m Balrt,146.65,146.05,Analog,High,91.5,91.5,3,2,0,2
194,VK2RGN 2m Glbn,146.625,146.025,Analog,High,None,None,0,0,0,1
195,VK1RBM 2m Isacs,146.725,146.125,Analog,High,91.5,91.5,0,0,1,1
196,VK2RCD 2m Dubbo,146.725,146.125,Analog,High,None,None,0,0,1,1
197,VK2RWG 2m Wagga,146.75,146.15,Analog,High,91.5,91.5,0,0,1,1
198,VK2RBE 2m Young,146.775,146.175,Analog,High,91.5,91.5,0,0,1,1
199,VK2RTZ 2m Ncstl,146.775,146.175,Analog,High,91.5,91.5,0,0,1,1
200,VK2RCC 2m Cnbrb,146.8,146.2,Analog,High,None,None,0,0,1,1
201,VK2RTD 2m Tumut,146.8,146.2,Analog,High,91.5,91.5,0,0,1,1
202,VK2RSC 2m Lismr,146.8,146.2,Analog,High,123,123,0,0,1,1
203,VK2RGA 2m Lchrt,146.825,146.225,Analog,High,91.5,91.5,0,0,1,1
204,VK1RAC 2m Issac,146.9,146.3,Analog,High,None,None,0,0,1,1
205,VK1RGI 2m Gnini,146.95,146.35,Analog,High,91.5,91.5,0,0,1,1
206,VK2RWI 2m Dural,147,146.4,Analog,High,None,None,0,0,1,1
207,VK2RAY 2m Albry,147.225,147.825,Analog,High,118.8,118.8,0,0,1,1
208,VK2RMO 2m Tmwth,146.85,146.25,Analog,High,None,None,0,0,1,1
209,VK2RTW 7 Waga2,438.025,433.025,Analog,High,91.5,91.5,0,0,1,1
210,VK1RGI 7 Ginini,433.05,433.05,Analog,High,91.5,91.5,0,0,1,1
211,2m Splx 50,146.5,146.5,Analog,High,None,None,0,0,1,1
212,VK2RNC 2m LHntr,146.975,146.375,Analog,High,None,None,0,0,1,1
213,VK2RUW 2m Wgng,146.975,146.375,Analog,High,None,None,0,0,1,1
214,VK2ROT 2mSyd,147.025,147.625,Analog,High,91.5,91.5,0,0,1,1
