Contact Name,ID,ID Type,Receive Tone,Ring Style
VK2VB Harry, 5052059,Private,Off,0
VK4PM Maclaurin, 5054061,Private,Off,0
VK2HLT Tim, 5052023,Private,Off,0
VK2FECK Stewart, 5052058,Private,Off,0
VK2TY Carlos, 5052128,Private,Off,0
VK4DAK David, 5054087,Private,Off,0
VK2NIJ Joel, 5052012,Private,Off,0
VK6AXB Anthony, 5056034,Private,Off,0
VK6AS Andrew, 5056021,Private,Off,0
VK6MHZ Mitchell, 5056044,Private,Off,0
VK4AA Sam, 5054064,Private,Off,0
VK6DMR Matthew, 5056040,Private,Off,0
VK2GUY Jason, 5052056,Private,Off,0
VK2MBA Bernie, 5052048,Private,Off,0
VK2AAH Richard, 5052038,Private,Off,0
VK6NAH James, 5056032,Private,Off,0
VK2CU Justin, 5052010,Private,Off,0
VK2EDM Ed, 5052124,Private,Off,0
VK2NPW Peter, 5052156,Private,Off,0
VK2MED Joshua, 5052031,Private,Off,0
VK2JPK Philip, 5052184,Private,Off,0
VK4ZUK Danny, 5054006,Private,Off,0
VK3TWO Heath, 5053038,Private,Off,0
VK2DAY Rod, 5052049,Private,Off,0
VK1NRU SUE, 5051005,Private,Off,0
VK2PJF Peter, 5052160,Private,Off,0
VK2MWP Andrew, 5052191,Private,Off,0
VK2IUW Hil, 5052158,Private,Off,0
VK2EMI Mark, 5052202,Private,Off,0
VK5SIX John, 5055020,Private,Off,0
VK5MLB Matt, 5055011,Private,Off,0
VK5SRP Philip, 5055018,Private,Off,0
VK2UMZ Muz, 5052168,Private,Off,0
VK4AA Samantha, 5054063,Private,Off,0
VK6AG John, 5056013,Private,Off,0
VK1AD Andrew, 5051025,Private,Off,0
VK1JAM Morten, 5051009,Private,Off,0
VK3TE Peter, 5053011,Private,Off,0
VK6XI Gerald, 5056073,Private,Off,0
VK2LAX Jarman, 5052112,Private,Off,0
VK6KSA Sam, 5056015,Private,Off,0
VK2HGC Christian, 5052161,Private,Off,0
VK6HSV Arthur, 5056029,Private,Off,0
VK1DW Dean, 5051023,Private,Off,0
VK5FBFB Brendan, 5055001,Private,Off,0
VK3EEE Dallas, 5053104,Private,Off,0
VK2OK Allan, 5052211,Private,Off,0
VK2DRK Derek, 5052213,Private,Off,0
VK4TB Les, 5054126,Private,Off,0
VK4ZXI Andrew, 5054129,Private,Off,0
VK2FGV Shannon, 5051044,Private,Off,0
VK6NOL Larry, 5056072,Private,Off,0
AX4TUX Adrian, 5054099,Private,Off,0
VK3JED Antony, 5053029,Private,Off,0
VK5FBFB Brendan, 5055002,Private,Off,0
VK3HAW Stephen, 5053131,Private,Off,0
VK1OC Robert, 5051038,Private,Off,0
VK4CBW Wallace, 5054096,Private,Off,0
VK6KPS Phil, 5056077,Private,Off,0
VK6MAH Matt, 5056078,Private,Off,0
VK3TE Peter, 5053007,Private,Off,0
VK1MTS Roald, 5051034,Private,Off,0
VK2FGAC Joshua, 5052174,Private,Off,0
VK2NWB William, 5052171,Private,Off,0
VK2UMC Michael, 5052028,Private,Off,0
VK6ER Mel, 5056068,Private,Off,0
VK4JLM Joshua, 5054046,Private,Off,0
VK2BOS Steven, 5052072,Private,Off,0
VK2TAZ Bradley, 5052253,Private,Off,0
VK2MW Mal, 5052199,Private,Off,0
VK2EVB Peter, 5052084,Private,Off,0
VK3SAJ Scout, 5053005,Private,Off,0
ZZ1Z Sergio, 5052153,Private,Off,0
VK6MAC Anthony, 5056085,Private,Off,0
VK5DF Daniel, 5055033,Private,Off,0
VK2SRD Steven, 5052206,Private,Off,0
VK5ZVS Stephanie, 5055031,Private,Off,0
VK2OE Rowan, 5052069,Private,Off,0
VK2MD Steve, 5052032,Private,Off,0
VK2XRL Ryan, 5052067,Private,Off,0
VK2GX Paul, 5052116,Private,Off,0
VK2DOC Benno, 5052071,Private,Off,0
VK6ZFG Igor, 5056004,Private,Off,0
VK6CD Cedric, 5056083,Private,Off,0
VK2WIH Hunter, 5052117,Private,Off,0
VK2PPM Peter, 5052187,Private,Off,0
VK2GD Sergio, 5052102,Private,Off,0
VK2MPJ Peter, 5052141,Private,Off,0
VK3ECH Rob, 5053127,Private,Off,0
AX2GG Dan, 5052154,Private,Off,0
VK4FABB Brandon, 5054041,Private,Off,0
VK2SM Greg, 5052024,Private,Off,0
VK3BDG Barry, 5053067,Private,Off,0
VK4GRA Graham, 5054089,Private,Off,0
VK3TE Peter, 5053012,Private,Off,0
VK7WL Larry, 5057015,Private,Off,0
VK4NFL Ian, 5054145,Private,Off,0
VK2EY Doug, 5052093,Private,Off,0
VK3TYR Eddie, 5053090,Private,Off,0
VK5BJE Maurice, 5055017,Private,Off,0
VK7FROG Lynette, 5057013,Private,Off,0
VK6NJW Norman, 5056039,Private,Off,0
VK6MST Allan, 5056055,Private,Off,0
VK6AAH Robert, 5056041,Private,Off,0
VK6ZGN Bob, 5056020,Private,Off,0
VK2AMV Lindsay, 5052242,Private,Off,0
VK3BT Ash, 5053150,Private,Off,0
VK4TUB Kery, 5054022,Private,Off,0
VK2MJM Jeremy, 5052278,Private,Off,0
VK4VBU Gregory, 5054062,Private,Off,0
VK3TE Peter, 5053013,Private,Off,0
VK2DAG Matt, 5052047,Private,Off,0
VK5CQ Chuck, 5055027,Private,Off,0
VK7AGR Aaron, 5057045,Private,Off,0
VK4EB Alan, 5054026,Private,Off,0
VK4EE David, 5054042,Private,Off,0
VK4ZPU Colin, 5054098,Private,Off,0
VK1SP Paul, 5051050,Private,Off,0
VK1MA Matt, 5051019,Private,Off,0
VK3XF W, 5053143,Private,Off,0
VK6HGR Gavin, 5051012,Private,Off,0
VK3BDG Barry, 5053068,Private,Off,0
VK3DET Ernie, 5053069,Private,Off,0
VK2UAL Richard, 5052063,Private,Off,0
VK3KCS Graham, 5053080,Private,Off,0
VK3BQO Albert, 5053133,Private,Off,0
VK3KDA Terry, 5053076,Private,Off,0
VK2OMD Owen, 5052214,Private,Off,0
VK2OMD Owen, 5052201,Private,Off,0
VK2KN Peter, 5052203,Private,Off,0
VK3ZAU Chris, 5053118,Private,Off,0
VK3EHG Hirotaka, 5053071,Private,Off,0
VK4NRL Richard, 5054084,Private,Off,0
VK6DY Mark, 5056054,Private,Off,0
VK3CKD Victor, 5053166,Private,Off,0
VK1RW Robert, 5051017,Private,Off,0
VK2JHG Jim, 5052219,Private,Off,0
VK7ALH Ross, 5057052,Private,Off,0
VK3FRC Frankston, 5053039,Private,Off,0
VK1EA Carlos, 5051039,Private,Off,0
VK3BJK Shane, 5053128,Private,Off,0
VK6XCJ Christie, 5056010,Private,Off,0
VK3KAA Ka, 5053116,Private,Off,0
VK3XDE Paul, 5053001,Private,Off,0
VK6BFO Allen, 5056023,Private,Off,0
VK5ZAN P, 5055022,Private,Off,0
VK6KIF Alasdair, 5056038,Private,Off,0
VK6ZTN Joe, 5056003,Private,Off,0
VK3YY Gl, 5053132,Private,Off,0
VK3EAV Adam, 5053078,Private,Off,0
VK3UJ Stephen, 5053182,Private,Off,0
VK4DU Glenn, 5054038,Private,Off,0
VK2YGM Peter, 5052200,Private,Off,0
VK5MAR Martin, 5055041,Private,Off,0
VK4ZJE Wj, 5054086,Private,Off,0
VK3TQ Willmott, 5053066,Private,Off,0
VK3LJB Jan, 5053037,Private,Off,0
VK4QF Andrew, 5054003,Private,Off,0
VK3TE Peter, 5053014,Private,Off,0
VK6ML Matthew, 5056061,Private,Off,0
VK5ZJW Aj, 5055026,Private,Off,0
VK2JN James, 5052150,Private,Off,0
VK3JCH Craig, 5053016,Private,Off,0
VK3NE Graeme, 5053190,Private,Off,0
VK4GQ Paul, 5054013,Private,Off,0
VK3ZFS Frank, 5053088,Private,Off,0
VK2AXA Alan, 5052162,Private,Off,0
VK3JJL Jack, 5053099,Private,Off,0
VK2ZB Mark, 5052016,Private,Off,0
VK2CAA Issy, 5052055,Private,Off,0
VK3LJB Jan, 5053036,Private,Off,0
VK4FSD Peter, 5054036,Private,Off,0
VK6XLR Rick, 5056007,Private,Off,0
VK3ET Emil, 5053175,Private,Off,0
VK2VRB Belayet, 5052007,Private,Off,0
VK6XLR Rick, 5056101,Private,Off,0
VK2EHQ Peter, 5052077,Private,Off,0
VK2EJM John, 5052284,Private,Off,0
VK2SON Lez, 5052246,Private,Off,0
VK4BIT Neil, 5054016,Private,Off,0
VK1PZH Steven, 5051032,Private,Off,0
VK3CDN Craig, 5053023,Private,Off,0
VK2ERG Earnest, 5052078,Private,Off,0
VK2DTW Richard, 5052311,Private,Off,0
VK1MCK Robert, 5051014,Private,Off,0
VK2ASY Kim, 5052280,Private,Off,0
VK2ZRJ Robert, 5052338,Private,Off,0
VK2FKLM Mark, 5052188,Private,Off,0
VK3XKA Andy, 5053061,Private,Off,0
VK7MX William, 5057007,Private,Off,0
VK1ANK Neil, 5051004,Private,Off,0
VK4LKB Kerry, 5054159,Private,Off,0
AX2HK Ian, 5052155,Private,Off,0
VK5PO John, 5055019,Private,Off,0
VK2LCD Damien, 5052099,Private,Off,0
VK3TUL Jj, 5053107,Private,Off,0
VK2MRC Matt, 5052317,Private,Off,0
VK3TJF Charles, 5053160,Private,Off,0
VK6RK Rick, 5056104,Private,Off,0
VK6ZTN Joe, 5056001,Private,Off,0
VK7DY Ken, 5057023,Private,Off,0
VK2XII Richard, 5052319,Private,Off,0
VK2RH Stephen, 5052358,Private,Off,0
VK7BE Barry, 5057055,Private,Off,0
VK2FGV Shannon, 5052231,Private,Off,0
VK7MRS Michael, 5057050,Private,Off,0
VK7ZBW Mike, 5057063,Private,Off,0
VK2YV Robert, 5052046,Private,Off,0
VK4APN Paul, 5054047,Private,Off,0
VK4TMT Michael, 5054150,Private,Off,0
VK6ML Mathew, 5056030,Private,Off,0
VK2FP Bj, 5052362,Private,Off,0
VK2CTB Colin, 5052234,Private,Off,0
VK2VRK Roger, 5052244,Private,Off,0
VK7AD Andrew, 5057026,Private,Off,0
VK2IP John, 5052030,Private,Off,0
VK2GWO Foord, 5052130,Private,Off,0
VK2NGL Angela, 5052131,Private,Off,0
VK2KS Nigel, 5052224,Private,Off,0
VK3TE Peter, 5053008,Private,Off,0
VK7PLR Peter, 5057049,Private,Off,0
VK1VMA Mathew, 5051002,Private,Off,0
VK2OE Ian, 5052361,Private,Off,0
VK6AKR Denis, 5056098,Private,Off,0
VK4DA Bob, 5054154,Private,Off,0
VK7ZIR Id, 5057011,Private,Off,0
VK2ZSA Paul, 5052209,Private,Off,0
VK3MJM Mathew, 5053125,Private,Off,0
VK6GGS Girl, 5056107,Private,Off,0
VK6HM Warren, 5056063,Private,Off,0
VK6WH West, 5056048,Private,Off,0
VK7PLR Peter, 5057064,Private,Off,0
VK2NMF Max, 5052217,Private,Off,0
VK4AIR Jeremy, 5054167,Private,Off,0
VK7KPC Peter, 5057034,Private,Off,0
VK4APM Aidan, 5054162,Private,Off,0
VK4UQ David, 5054085,Private,Off,0
VK4EA Peter, 5054050,Private,Off,0
VK5MA Ian, 5055035,Private,Off,0
VK2AET Scott, 5052371,Private,Off,0
VK1PT Noel, 5051033,Private,Off,0
VK4WA , 5054037,Private,Off,0
VK7EV Eric, 5057059,Private,Off,0
VK2KMI Kimberly, 5052190,Private,Off,0
VK3PZ John, 5053232,Private,Off,0
VK4LUB Peter, 5054161,Private,Off,0
VK1MRH Bob, 5051011,Private,Off,0
VK2ARO Danny, 5052088,Private,Off,0
VK2FEB Jan, 5052133,Private,Off,0
VK2YLO John, 5052001,Private,Off,0
VK4QF Andrew, 5054004,Private,Off,0
VK7TM Mike, 5057061,Private,Off,0
VK6LVI Ben, 5056047,Private,Off,0
VK4IE John, 5054140,Private,Off,0
VK6ZLT Td, 5056079,Private,Off,0
VK2VJZ James, 5052147,Private,Off,0
VK2NQ Briam, 5052108,Private,Off,0
VK1BGT Ingmar, 5051040,Private,Off,0
VK1MDJ Darren, 5051029,Private,Off,0
VK6VET Warren, 5056062,Private,Off,0
VK2TNT Mike, 5052378,Private,Off,0
VK7MD Mike, 5057078,Private,Off,0
VK1NUT Glenn, 5051054,Private,Off,0
VK4GJW Greg, 5054148,Private,Off,0
VK3GTS Philip, 5053250,Private,Off,0
VK2XRH Robert, 5052143,Private,Off,0
VK3MCD Brian, 5053111,Private,Off,0
VK4TDI David, 5054074,Private,Off,0
VK4PF Ian, 5054190,Private,Off,0
VK3TYR Eddie, 5053089,Private,Off,0
VK2TGJ Dj, 5052292,Private,Off,0
VK2CN Rod, 5052380,Private,Off,0
VK2AIR Jeff, 5052193,Private,Off,0
VK3SNR Peter, 5053086,Private,Off,0
VK2OOO Richard, 5052053,Private,Off,0
VK3FDES Doug, 5053263,Private,Off,0
VK3APG Paul, 5053082,Private,Off,0
VK2EMM Ed, 5052125,Private,Off,0
VK2HSR Stephen, 5052351,Private,Off,0
VK2MNM Reg, 5052377,Private,Off,0
VK6FMIT Brian, 5056118,Private,Off,0
VK3WJ Jennifer, 5053235,Private,Off,0
VK4YN Lawrie, 5054127,Private,Off,0
VK3FJC Guillaume, 5053215,Private,Off,0
VK3AQJ Len, 5053269,Private,Off,0
VK4AB Robert, 5054005,Private,Off,0
VK2DAG Matt, 5052036,Private,Off,0
VK3XYX Garry, 5053163,Private,Off,0
VK4VVK Lin, 5054185,Private,Off,0
VK4MTV Dale, 5054023,Private,Off,0
VK6AG John, 5056012,Private,Off,0
VK2IJ Ian, 5052324,Private,Off,0
VK2IPT Ian, 5052111,Private,Off,0
VK3PK Lee, 5053256,Private,Off,0
VK3KQ Damian, 5053140,Private,Off,0
VK2HK Ian, 5052189,Private,Off,0
VK4SIR Peter, 5054136,Private,Off,0
VK4MAY David, 5054173,Private,Off,0
VK7PD Peter, 5057035,Private,Off,0
VK3YHT W, 5053165,Private,Off,0
VK7PLR Peter, 5057056,Private,Off,0
VK7OO Steve, 5057024,Private,Off,0
VK4AK Bruce, 5054120,Private,Off,0
VK5ZAN Peter, 5055023,Private,Off,0
VK2CZ David, 5052061,Private,Off,0
VK2DCJ Owen, 5052413,Private,Off,0
VK5XFG Andrew, 5055068,Private,Off,0
VK2KXN Nicholas, 5052113,Private,Off,0
VK2ZRJ Robert, 5052340,Private,Off,0
VK2BSY Dave, 5052151,Private,Off,0
VK3XBC Duncan, 5053074,Private,Off,0
VK7AN Allen, 5057047,Private,Off,0
VK3MIT Timothy, 5053264,Private,Off,0
VK4HAM Wayne, 5054080,Private,Off,0
VK2CIM Peter, 5052229,Private,Off,0
VK2MTM Gordon, 5052329,Private,Off,0
VK4NIX Geoffrey, 5054177,Private,Off,0
VK2FGV Shannon, 5052290,Private,Off,0
VK7KTN Norm, 5057073,Private,Off,0
VK3ZGC Gary, 5053112,Private,Off,0
VK4DW Doug, 5054124,Private,Off,0
VK2MUF Rob, 5052129,Private,Off,0
VK3LP John, 5053211,Private,Off,0
VK2QW Tony, 5052298,Private,Off,0
VK7LXX Scott, 5057066,Private,Off,0
VK2FI Nigel, 5052126,Private,Off,0
VK1AAB Stephen, 5051008,Private,Off,0
VK2FD Lindsay, 5052277,Private,Off,0
VK6NGS Grant, 5056116,Private,Off,0
VK2XDL , 5052104,Private,Off,0
VK4VTK Dennis, 5054113,Private,Off,0
VK3KIM Ken, 5053113,Private,Off,0
VK5KX Peter, 5055045,Private,Off,0
VK4AB Robert, 5054007,Private,Off,0
VK3LL R, 5053155,Private,Off,0
VK3AMP Onder, 5053242,Private,Off,0
VK3UBO Tony, 5053274,Private,Off,0
VK2ZJB Jesse, 5052334,Private,Off,0
VK2RF Raffy, 5052105,Private,Off,0
VK2PSF Alexander, 5052115,Private,Off,0
VK4ZUK Danny, 5054021,Private,Off,0
VK2LEZ Leslie, 5052274,Private,Off,0
VK3TYG Chris, 5053018,Private,Off,0
VK3JCH Craig, 5053015,Private,Off,0
VK2ICQ Paul, 5052410,Private,Off,0
VK3FPDH Peter, 5053278,Private,Off,0
VK2NZW Roma, 5052241,Private,Off,0
VK3BA Nik, 5053043,Private,Off,0
VK3EQ Rik, 5053077,Private,Off,0
VK2YMI Brendan, 5052249,Private,Off,0
VK6MAJ Chris, 5056102,Private,Off,0
VK4HAK Geoffery, 5054152,Private,Off,0
VK3MP Brett, 5053129,Private,Off,0
VK4DMH Mark, 5054009,Private,Off,0
VK4WIG Gold, 5054012,Private,Off,0
VK4BJT John, 5054015,Private,Off,0
VK4HIT Allan, 5054133,Private,Off,0
VK6DW Ian, 5056087,Private,Off,0
VK4NB Neil, 5054079,Private,Off,0
VK7ZBW Mike, 5057062,Private,Off,0
VK3HSB Peter, 5053191,Private,Off,0
VK3HSB Peter, 5053117,Private,Off,0
VK3RX Damien, 5053184,Private,Off,0
VK2AAB Be, 5052208,Private,Off,0
VK2HDX Paul, 5052009,Private,Off,0
VK2ND Ian, 5052040,Private,Off,0
VK5XY Colin, 5055037,Private,Off,0
VK5WR Bill, 5055029,Private,Off,0
VK4BAB Andrew, 5054160,Private,Off,0
VK6EH Wayne, 5056070,Private,Off,0
VK6EI Tim, 5056066,Private,Off,0
VK6YA Eddie, 5056086,Private,Off,0
VK6CD Cc, 5056081,Private,Off,0
VK6TWJ Ian, 5056132,Private,Off,0
VK2HRT Paul, 5052079,Private,Off,0
VK7IL Jack, 5057028,Private,Off,0
VK3TVZ John, 5053059,Private,Off,0
VK2MTM Gordon, 5052251,Private,Off,0
VK2GN Peter, 5052330,Private,Off,0
VK3ND Greg, 5053048,Private,Off,0
VK3EI Lino, 5053139,Private,Off,0
VK3ND Greg, 5053185,Private,Off,0
VK2PET Pete, 5052364,Private,Off,0
VK2KXX Colin, 5052122,Private,Off,0
VK2TL Scott, 5052390,Private,Off,0
VK6OK Craig, 5056011,Private,Off,0
VK3TKK Peter, 5053021,Private,Off,0
VK3HSV Max, 5053017,Private,Off,0
VK2HK Ian, 5052110,Private,Off,0
VK3FBUG Gary, 5053272,Private,Off,0
VK4QM David, 5054135,Private,Off,0
VK5SFA Steve, 5055014,Private,Off,0
VK5GY Gordon, 5055024,Private,Off,0
VK7ZCF C, 5057048,Private,Off,0
VK6LB Peter, 5056035,Private,Off,0
VK4UFO Edward, 5054121,Private,Off,0
VK3BMX Terry, 5053057,Private,Off,0
VK2PHA Nigel, 5052021,Private,Off,0
VK2VL Tony, 5052322,Private,Off,0
VK1MA Matt, 5051018,Private,Off,0
VK3MB Philip, 5053251,Private,Off,0
VK2LWB John, 5052008,Private,Off,0
VK3VDP Darrin, 5053227,Private,Off,0
VK3VCS Dave, 5053009,Private,Off,0
VK2HVA Valdis, 5052430,Private,Off,0
VK6OC Markus, 5056114,Private,Off,0
VK2BRF Ray, 5052331,Private,Off,0
VK6BG Stuart, 5056026,Private,Off,0
VK2FH Peter, 5052204,Private,Off,0
VK4RM Roy, 5054072,Private,Off,0
VK3XW Colin, 5053224,Private,Off,0
VK1KV David, 5051027,Private,Off,0
VK6AIF Peter, 5056022,Private,Off,0
VK2FI Nigel, 5052285,Private,Off,0
VK6LDX Lewis, 5056037,Private,Off,0
VK6ADF Phil, 5056097,Private,Off,0
VK3GRK Graeme, 5053098,Private,Off,0
VK6KB R, 5056046,Private,Off,0
VK1MH Matthew, 5051021,Private,Off,0
VK4TD George, 5054142,Private,Off,0
VK3ZWA Robert, 5053201,Private,Off,0
VK2VE Eric, 5052051,Private,Off,0
VK4GRA Graham, 5054134,Private,Off,0
VK2YFM Frederick, 5052176,Private,Off,0
VK3BRS Rob, 5053135,Private,Off,0
VK4EB Alan, 5054027,Private,Off,0
VK2HDE Dale, 5052347,Private,Off,0
VK5TT Tony, 5055056,Private,Off,0
VK3EQ Rik, 5053164,Private,Off,0
VK2DMH David, 5052182,Private,Off,0
VK5SFA Steve, 5055013,Private,Off,0
VK3KLI Craig, 5053151,Private,Off,0
VK2ARI Ari, 5052299,Private,Off,0
VK2HSL Steven, 5052407,Private,Off,0
VK1HAD Zikrun, 5051060,Private,Off,0
VK3LAI Martin, 5053243,Private,Off,0
VK3VKT Andrew, 5053296,Private,Off,0
VK4YKI Helmut, 5054056,Private,Off,0
VK3ZMX Markos, 5053266,Private,Off,0
VK5FO Bob, 5055065,Private,Off,0
VK5RR Ray, 5055064,Private,Off,0
VK2ICW Louis, 5052265,Private,Off,0
VK6USB Mark, 5056141,Private,Off,0
VK7HRS Trent, 5057029,Private,Off,0
VK7MA Martin, 5057033,Private,Off,0
VK2XE Greg, 5052057,Private,Off,0
VK3CJH Panagioti, 5053219,Private,Off,0
VK2LJ John, 5052004,Private,Off,0
VK3MET Craig, 5053199,Private,Off,0
VK2KO Glenn, 5052042,Private,Off,0
VK2NPW Peter, 5052140,Private,Off,0
VK2ZIW Alan, 5052170,Private,Off,0
VK4ARZ Roger, 5054217,Private,Off,0
VK7DG Dg, 5057054,Private,Off,0
VK3TEN Gordon, 5053041,Private,Off,0
VK3VLY Shaun, 5053231,Private,Off,0
VK6BD Robert, 5056123,Private,Off,0
VK1MH Matthew, 5051020,Private,Off,0
VK6US Anthony, 5056115,Private,Off,0
VK3PDG Mark, 5053294,Private,Off,0
VK2XDW Dennis, 5052132,Private,Off,0
VK2GV Shannon, 5052152,Private,Off,0
VK3MCO Chris, 5053260,Private,Off,0
VK3TJS Jacek, 5053130,Private,Off,0
VK3MHY Michael, 5053054,Private,Off,0
VK2LEZ Leslie, 5052415,Private,Off,0
VK1ZDJ Doug, 5051006,Private,Off,0
VK1EM Mark, 5051036,Private,Off,0
VK3SOL Peter, 5053137,Private,Off,0
VK2HRX , 5052052,Private,Off,0
VK3MIX Andrew, 5053079,Private,Off,0
VK2FAFG Richard, 5052165,Private,Off,0
VK3ALZ Michael, 5053218,Private,Off,0
VK2TUT Jack, 5052239,Private,Off,0
VK2THZ Simon, 5052068,Private,Off,0
VK3ICM Chris, 5053261,Private,Off,0
VK2AMV Lindsay, 5052245,Private,Off,0
VK3SLR Allan, 5053122,Private,Off,0
VK6ZGN Bob, 5056019,Private,Off,0
VK7YAD Greg, 5057065,Private,Off,0
VK2BO Richard, 5052259,Private,Off,0
VK4BS Howard, 5054034,Private,Off,0
VK2RE Mark, 5052037,Private,Off,0
VK2PSF Alex, 5052082,Private,Off,0
VK2DAP Nicholas, 5052427,Private,Off,0
VK7JD David, 5057003,Private,Off,0
VK3GQ Peter, 5053136,Private,Off,0
VK3CKC Kevin, 5053097,Private,Off,0
VK5ZZ Mark, 5055050,Private,Off,0
VK2VU Gary, 5052423,Private,Off,0
VK2AZ Hilary, 5052333,Private,Off,0
VK4SJF Sj, 5054239,Private,Off,0
VK4FDBR Damien, 5054243,Private,Off,0
VK2JHG James, 5052308,Private,Off,0
VK1DSH Dale, 5051022,Private,Off,0
VK2ZRN Dennis, 5052075,Private,Off,0
VK4GCQ Jw, 5054147,Private,Off,0
VK7NRF Bogdan, 5057038,Private,Off,0
VK4WH Wayne, 5054202,Private,Off,0
VK2OL Owen, 5052416,Private,Off,0
VK2FA Grahame, 5052250,Private,Off,0
VK3XBC Duncan, 5053119,Private,Off,0
VK2KEV Kevin, 5052070,Private,Off,0
VK1RZ Roald, 5051048,Private,Off,0
VK3TIM Tim, 5053208,Private,Off,0
VK2FJ John, 5052304,Private,Off,0
VK3EY Rob, 5053075,Private,Off,0
VK1MDP Murray, 5051007,Private,Off,0
VK2FS Nicholas, 5052373,Private,Off,0
VK6ZRW Ray, 5056014,Private,Off,0
VK6VHZ Steve, 5056016,Private,Off,0
VK3LSD Alan, 5053268,Private,Off,0
